LI
QI,012
QI,0
QI,999
QI,022
QI,23
QI,001
QI,2
QI,039
QI,004
QI,11
QI,41
QI,007
IN,41,ITA,Italy,Europe,Southern Europe,301316,1861,57680000,79.0
IN,7,ZMB,Zambia,Africa,Eastern Africa,752618,1964,9169000,37.2
QI,41
QI,07
DI,13
QI,013
DI,12
DI,12
QI,12
IN,12,AUS,Australia,Oceania,Australia and New Zealand,7741220,1901,18886000,79.8
QI,012
DI,002
DI,038
DI,987
DI,15
DI,00
DI,39
QI,39
QI,17
IN,17,USA,United States,North America,North America,9363520,1776,278357000,77.1
QI,17
QI,6
QI,987654321
LI
